policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
grove,0,fell,41,9,17.3852,7.90472,0.822506,0.891205,463.913,180.785,25.6877,25.705,2.07447,40.2032,112.367,8.20488,13.7749,2.52776,353.255,136.059,20.3418,43.5262,2.84806,29.699,74.5404,6.20953,10.5411,2.6551,499.927,147.532,27.9626,27.6476,2.15289,38.5502,83.5617,8.23313,15.9617,2.00453,426.231,90.9373,22.6923,24.0942,2.42953,33.0846,75.0171,7.28622,12.2725,2.29486,299.016,124.568,14.4937,18.2808,2.26182,27.5424,72.9316,6.07933,10.1898,2.91581,969.925,210.267,50.1853,40.5195,1.51839,60.7131,131.23,12.8936,20.2988,4.31389,256.052,93.0214,17.9008,29.0703,0.949568,25.9265,66.8894,5.96518,9.89009,1.9521,433.824,99.5929,21.0059,28.6002,1.40683,29.5223,64.2315,6.48151,11.1308,2.14405,2779.52,274.886,221.389,94.0111,1.59913,68.0738,85.0926,19.1406,38.3727,5.4334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grove,1,complete,60,12,15.244,3.87278,0.0165332,0.0196064,412.19,114.733,16.2635,12.9815,2.63146,33.1849,76.8984,5.96197,9.9965,2.03813,362.968,96.2854,19.6752,33.4049,2.01669,28.2199,59.3303,5.43879,11.6025,2.79907,251.637,59.5749,14.0384,21.3464,2.09308,22.1801,44.3738,4.58249,7.57857,1.67637,481.642,106.441,21.7967,26.2965,2.35706,35.6133,74.0383,7.46749,11.0949,2.59765,302.88,70.6968,16.0391,16.6414,2.60746,25.7734,46.2501,5.95357,7.93957,2.16596,701.391,159.446,31.5529,87.0264,3.09463,46.3495,100.882,10.4268,21.7199,4.72887,609.423,134.477,37.223,30.3904,2.17787,46.0253,97.0201,10.7722,12.1601,2.13522,1639.48,508.513,93.4525,189.138,14.4783,90.0823,202.138,19.0239,41.6207,16.0696,487.896,165.651,28.7726,25.029,1.7998,35.9388,88.0437,7.40977,11.1285,1.79766,2021.16,261.312,155.384,151.212,5.60017,89.3065,142.252,21.0289,30.6932,6.69382,581.061,133.138,33.1134,31.4824,2.00835,43.6031,93.5886,9.27494,13.0127,3.06458,816.581,189.208,42.7433,31.1013,1.8242,51.7521,88.8976,10.9799,16.0959,3.53678
grove,2,complete,60,12,14.1429,2.78737,0.00884346,0.00862478,184.863,83.052,8.1624,16.0408,1.35353,22.0757,46.8943,4.17653,7.22786,1.3262,177.433,36.7894,10.8411,17.0986,2.1408,15.3315,32.4615,3.52794,5.601,1.20277,548.387,143.45,25.2478,25.6794,3.30893,36.3783,96.2053,7.33472,16.5078,2.86935,452.535,164.398,24.3329,36.5209,9.18787,34.8144,92.4582,6.90497,15.1103,5.27418,371.007,87.0365,15.1685,21.1167,1.1467,26.7371,61.5161,5.38149,8.75707,1.85498,903.569,122.143,37.4592,72.6523,2.53619,51.1733,87.5733,11.999,19.0606,3.639,514.57,138.666,21.9131,28.6417,2.73705,39.9898,87.5173,8.39121,10.8762,2.69745,594.602,126.274,26.1502,33.1435,1.54373,42.302,87.7838,8.24253,12.7612,2.40305,598.781,146.056,26.5462,31.0849,0.923679,40.11,78.0755,8.22179,10.3423,2.51762,1680.32,454.982,88.1327,180.263,3.41883,94.4236,203.988,18.0191,28.7879,5.97949,700.98,106.675,33.5115,26.1192,1.82869,41.5677,72.6801,9.32283,9.9848,2.181,971.922,237.247,48.0325,130.028,4.03515,61.687,127.685,13.1442,23.2025,4.23852
grove,3,complete,60,12,7.43622,3.29354,0.00754471,0.00761169,599.16,180.866,37.4232,72.2321,2.43948,49.6786,116.642,9.91122,20.0696,2.90128,441.556,139.109,20.3138,23.4224,1.62664,34.4091,85.3719,7.37602,13.8891,2.23989,779.023,153.056,54.5153,83.6863,2.35277,47.2036,95.1196,11.002,22.9488,3.64617,364.536,101.321,18.1727,33.4577,1.64187,26.1838,64.8655,5.6644,12.0954,2.03088,540.771,110.198,30.7809,21.8407,2.71938,40.2767,69.0318,8.46795,14.7717,2.52461,252.171,66.744,25.5169,51.0099,4.13684,18.5629,45.3574,4.58885,11.2453,2.95373,534.626,138.492,32.1764,29.93,1.57872,39.8927,85.824,8.58071,13.3172,2.47875,623.529,119.709,34.9011,30.2895,2.1981,38.3101,72.9419,8.48579,15.4024,2.50785,521.526,117.881,23.2599,32.9229,1.43391,36.0245,78.1508,6.92887,13.3707,2.51638,271.899,97.4172,23.9697,30.3835,1.50626,27.1381,65.0696,6.30544,12.5367,1.71858,1098.92,215.77,86.8343,95.8841,3.79356,51.8789,101.704,11.7608,31.1574,4.64481,546.511,193.844,31.7384,50.6635,2.07135,35.9018,91.9561,7.98915,20.5424,3.08234
grove,4,complete,60,12,8.30398,3.12781,0.0249172,0.0288814,301.123,88.0202,12.5226,35.1423,2.34372,27.067,58.6122,4.82561,10.6368,2.04243,384.374,100.926,14.5716,16.8465,3.02465,31.3273,65.2673,6.32192,10.3501,2.06671,486.068,135.836,20.1587,25.7233,2.06222,33.4478,73.2318,6.81721,9.33156,1.91949,298.922,68.468,16.305,20.6158,2.41374,25.1389,38.1895,5.49385,7.18669,1.63031,372.169,81.9276,16.9808,25.0405,1.91185,29.906,66.011,6.25065,7.94843,1.85951,340.284,82.2206,42.4123,139.428,3.19807,28.686,56.6196,7.29581,16.1511,3.35631,419.319,178.19,20.0338,26.2622,2.01275,38.5775,97.3689,7.40094,9.56159,2.28519,118.601,34.0855,10.6849,89.5771,8.77192,12.7558,23.3231,3.10593,10.9715,4.42013,674.542,102.976,53.4032,126.851,3.30812,40.8903,69.5717,9.20049,17.2075,4.17868,234.857,56.3542,14.2026,28.9361,3.05074,19.5503,39.1408,3.96689,9.03824,2.00735,254.85,45.5622,16.9762,14.1852,1.70283,22.1261,32.9854,4.908,8.20372,1.38814,1716.8,271.575,111.908,66.1369,1.5747,80.7021,145.693,16.2379,28.0765,3.22645
grove,5,complete,60,12,6.25936,3.48427,0.00613994,0.00961426,385.353,110.742,17.0807,17.5741,1.63862,33.4324,69.2655,6.09966,9.4939,1.76005,487.054,124.543,20.3373,28.193,1.18655,31.6557,84.814,6.38973,13.6378,1.77971,413.104,154.553,17.3408,30.7613,1.71195,30.4111,83.5422,6.82831,10.5404,1.81092,211.169,38.4626,8.64807,21.7075,1.34707,14.1464,33.3781,3.36923,7.01794,1.23702,813.335,189.233,47.5676,122.398,2.84266,44.8541,98.4685,9.56097,20.0102,3.96311,492.736,142.647,20.5406,39.1344,1.24268,31.2302,79.4341,6.63248,12.8349,1.80012,201.116,64.1267,11.2068,20.8407,2.63463,17.1049,42.1729,3.8693,4.5519,1.59913,422.279,139.928,21.1173,44.9823,1.45704,33.9727,77.8474,6.81454,10.5508,2.64045,137.513,34.1662,8.01888,15.0978,2.43916,13.2656,27.693,3.14791,4.13381,1.27482,1220.74,305.339,48.8124,28.3877,2.11769,64.0917,156.317,13.2008,17.3353,4.38566,958.274,129.409,47.8472,49.4086,12.6971,50.0579,104.837,10.6568,19.138,9.15571,382.754,127.163,19.4966,21.8231,2.11043,31.1123,74.7979,6.7061,7.77218,2.1022
grove,6,fell,56.24,12,21.3528,11.6747,0.505812,0.735123,321.934,78.2654,14.606,18.4436,2.14215,26.9634,63.8548,5.14811,9.12608,1.67713,524.235,158.578,17.5817,19.966,1.14892,33.7711,93.3698,6.72447,14.0697,1.90858,333.375,91.3632,15.3961,20.2549,1.62167,25.559,55.8867,5.08588,11.4084,1.71789,406.276,117.006,18.1593,33.8153,1.2572,28.6118,66.3589,6.00107,12.8601,1.99628,418.042,126.569,21.023,25.6213,2.49335,32.6797,75.2874,7.19151,14.1202,2.40999,560.463,157.638,33.2814,57.6604,1.77661,37.6519,88.8514,7.82583,20.204,2.96362,734.192,139.115,29.2676,33.5457,1.80536,39.4323,98.0754,8.32589,15.6591,1.88451,834.501,162.474,38.3737,44.5577,1.57279,48.8036,97.4742,11.1096,19.9318,3.41002,230.369,84.0309,9.95326,22.8334,1.60415,18.4812,41.4035,3.87689,7.12954,1.51026,305.448,60.5222,18.4124,27.2114,2.85408,24.7263,47.6406,5.6508,10.8068,2.15854,605.573,170.261,34.3869,39.0932,2.63017,48.0967,115.109,10.8141,18.0543,3.45387,5409.97,535.599,354.83,400.106,44.0031,180.31,167.606,36.467,78.1085,42.2787
grove,7,complete,60,12,7.07672,2.89987,0.00710522,0.00789979,384.475,114.873,15.5525,14.7714,2.31738,32.6089,73.8506,6.57307,10.8765,1.86359,711.084,173.621,35.9722,79.3057,9.36487,44.3084,97.9524,9.09321,17.8146,4.97858,318.951,86.3575,11.7,12.4365,2.06073,24.2624,57.6872,4.79837,8.07099,1.84821,395.079,80.2247,19.1878,15.5005,1.93343,28.971,61.4737,5.87048,10.0454,2.46573,342.56,86.6171,15.5598,13.0828,1.27147,27.6795,64.4357,5.8949,8.88884,2.27739,576.119,115.564,21.4248,22.9082,2.0865,39.1871,80.3602,7.74645,10.6221,2.69067,467.147,73.9628,26.997,17.9581,1.84642,32.8676,55.8738,6.62086,10.3054,2.43178,365.993,79.9645,17.724,32.4831,1.66636,28.5733,55.1943,6.32535,9.90305,1.85743,839.361,190.784,48.1347,150.499,2.36997,58.5731,109.663,11.1953,23.8652,4.223,376.981,111.171,15.7167,13.663,2.05257,29.5173,71.5139,6.05689,9.19934,2.06354,524.417,155.918,27.3313,60.4767,2.68384,40.423,91.7937,9.40086,15.7544,3.93005,447.492,99.4272,31.8687,24.2787,1.90895,30.5521,70.9489,7.52855,7.74939,2.59971
grove,8,complete,60,12,12.3958,3.80818,0.633875,0.839524,328.018,106.069,14.7685,17.1963,1.49379,31.166,77.6679,5.97924,10.4731,1.86641,355.049,83.677,19.6667,19.2093,2.65268,27.5848,59.4584,5.64261,10.6217,2.09731,530.681,136.324,27.031,74.6718,3.04531,34.6146,84.8733,7.32107,18.5151,3.5878,652.224,181.519,34.4727,26.3855,1.95367,47.8459,103.991,9.6544,13.5591,3.35767,483.677,150.163,25.9268,20.1526,1.40868,33.7875,76.0349,7.34679,8.81456,2.62848,606.435,163.018,27.1404,124.495,11.4549,43.0318,101.355,8.96344,32.4865,10.3147,625.637,158.111,38.6757,29.2332,1.61379,42.3283,96.2511,9.49012,12.329,2.6227,781.442,243.579,31.9398,68.2009,3.6147,54.0304,136.042,11.3013,25.0102,5.75351,1447.35,402.572,81.493,42.0392,1.46813,81.1427,191.271,17.1598,28.3433,3.49629,535.023,109.423,35.0363,23.4405,1.57173,36.6,75.3676,7.90661,11.1018,1.95002,469.903,144.788,25.3147,110.295,3.04738,39.4193,85.0064,8.75673,23.6989,3.99001,1809.51,323.811,112.592,43.3026,1.87439,97.6708,184.374,20.6375,26.5834,4.13261
grove,9,complete,60,12,7.55679,4.30186,0.013758,0.014666,262.385,61.7106,10.9588,12.2341,2.02631,24.7425,48.6606,4.75578,7.93562,1.85469,246.769,70.6942,12.3214,57.8902,3.18546,19.2281,35.8439,3.94514,12.6471,2.59861,653.131,184.152,27.8276,36.7289,2.1002,41.4387,89.6642,9.17186,16.5016,3.06163,993.373,162.708,35.7952,23.7379,1.01135,55.2477,109.743,9.83004,13.9129,3.07419,316.522,154.412,22.6288,52.2349,1.42266,24.9216,69.4636,5.36604,9.84915,2.26076,351.249,108.216,23.1274,25.1534,1.36419,31.7252,70.2902,6.6136,12.2065,2.33014,636.007,154.745,26.3563,27.1721,1.74061,39.6143,89.1043,8.23261,12.922,2.14981,413.351,95.368,20.2122,15.0414,1.43469,29.7992,66.711,6.47057,8.3293,2.40166,270.066,105.682,12.3834,18.0966,2.16691,24.691,66.7927,5.51302,8.14291,1.83349,432.173,143.665,23.692,22.2209,1.84051,32.367,74.9049,7.09607,10.6244,1.75466,325.532,83.7717,16.6722,13.484,2.25431,23.8651,46.2057,5.21254,6.61294,1.83952,568.232,153.505,38.2896,27.2644,2.32162,42.8651,94.1046,8.8507,11.3836,2.44246
