policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2
decoupled_wbc_h074_p000,2048,fell,56,12,17.3068,8.98475,2.24175,3.41932,520.485,122.177,139.701,30.3283,1.69471,70.2691,64.4549,21.2577,33.8284,3.9771,595.69,142.574,140.174,39.689,1.58489,80.0766,69.8522,20.3201,39.0973,3.70642,462.026,106.908,89.6005,33.8111,2.46047,61.879,54.3053,16.6855,30.7543,4.34878,380.594,108.812,152.861,58.6213,3.81917,57.4265,53.5072,18.2593,34.7719,7.44432,432.143,90.7894,114.579,61.3214,4.4271,59.9127,48.048,18.0506,32.0709,8.09544,508.395,111.786,103.159,111.621,9.32128,72.828,53.2511,21.4892,42.8098,11.7949,520.667,129.295,127.926,57.3335,2.80655,73.4181,63.3749,21.0514,40.8148,8.60059,463.583,122.725,131.873,36.775,2.48059,66.9482,54.1717,19.4151,31.0289,5.76492,294.273,58.8533,100.591,32.4884,2.13234,44.931,33.3538,15.5081,27.4108,5.0858,265.011,59.9569,92.4347,38.5372,2.10463,35.6343,32.8745,12.2102,23.299,2.80203,569.017,154.766,107.202,39.1583,1.36418,77.4219,55.8609,20.6394,30.3472,3.63378,1735.64,190.582,181.474,205.583,2.43116,81.8743,38.7898,21.6658,38.699,4.45785
decoupled_wbc_h074_p000,2049,complete,60,12,7.46679,3.89399,0.46834,0.194526,291.915,72.2544,109.363,23.9622,1.47844,42.622,37.8036,14.9249,22.906,3.60662,390.034,128.08,144.503,29.045,1.75807,61.4855,56.1007,19.5693,28.7327,4.3368,439.457,83.483,102.107,38.2029,0.940999,62.1913,49.4501,17.7879,23.2138,4.4516,1115.9,277.363,246.523,50.9869,1.32395,126.873,106.446,33.716,44.9884,7.02774,631.165,146.552,146.586,38.594,2.15295,84.1119,68.7495,24.5599,32.5943,5.55049,482.966,114.269,125.44,27.9398,1.79845,71.718,52.4304,22.7506,29.3977,5.81542,631.079,139.247,144.83,56.6518,1.66308,83.0525,67.064,24.7859,40.0421,6.4838,451.735,98.8922,111.116,26.2852,1.40273,62.4341,50.1723,18.7764,22.828,4.09231,454.796,96.6864,137.355,30.2586,0.976911,61.9654,49.9843,19.5376,26.1222,4.25722,427.926,96.8752,117.257,35.7287,2.00928,61.0463,42.2674,19.328,28.8963,4.22633,645.894,153.886,135.471,116.535,6.58033,93.4423,66.154,23.833,39.1988,9.10307,788.696,158.094,128.45,43.8215,1.68923,96.4889,72.0099,27.1609,27.5162,4.95935
decoupled_wbc_h074_p000,2050,complete,60,12,9.33387,4.21021,0.305114,0.336639,539.404,123.646,127.22,23.0703,1.45331,71.5802,56.2835,19.2834,29.365,3.89731,558.686,129.58,110.657,43.321,2.751,71.5707,59.1845,18.8744,29.0984,4.96434,298.326,69.1175,98.5126,88.432,3.54005,42.9333,33.2666,14.6698,23.1483,4.74278,530.854,154.052,91.5331,35.6876,1.78697,68.2848,53.0261,17.3648,23.8438,3.7473,413.667,97.9295,103.757,32.6648,2.15883,55.7202,39.77,16.1313,22.3573,4.11433,462.393,200.574,104.067,73.5809,2.43916,62.7686,60.3639,18.228,28.654,5.27871,242.576,56.4355,73.5493,48.351,1.6028,36.301,29.8964,11.4424,17.444,3.69379,306.406,101.096,143.332,48.8478,2.06694,54.4254,46.0376,17.8201,25.4612,3.7752,301.633,68.297,96.8844,46.7432,1.89605,50.5981,35.0042,13.9122,22.5432,3.0452,523.251,119.628,101.422,72.7585,9.56174,73.0512,50.4428,22.1669,40.374,9.92932,539.777,134.495,96.0236,33.4232,2.22922,71.8748,55.6218,20.0621,26.4409,5.31049,1041.54,330.854,200.352,90.9628,3.04331,109.665,89.1112,31.0932,47.6075,8.62446
decoupled_wbc_h074_p000,2051,complete,60,12,13.1918,4.45508,0.396885,0.245715,500.885,152.391,183.829,42.611,2.56808,80.9555,65.5331,22.3346,36.4909,5.25471,1233.64,351.426,211.371,144.307,3.89576,134.121,109.535,34.6185,54.6453,7.91703,514.328,109.612,93.9505,33.373,2.29515,66.238,51.7302,18.799,25.7655,3.13784,763.363,172.405,154.519,103.532,3.14474,93.3676,77.2393,25.4296,33.6181,5.63101,532.432,130.421,147.545,142.594,3.66644,74.7401,64.2038,23.0426,30.5379,6.33376,259.384,58.1419,72.1896,29.1642,1.46173,41.1492,29.0019,14.101,17.7835,4.03928,444.196,147.557,128.91,43.3502,1.75238,62.9316,58.2982,18.9215,29.575,5.2094,247.984,85.8828,52.8602,28.7065,2.24452,39.3212,31.1307,13.1327,15.6059,4.00783,361.55,85.5511,88.9015,36.5276,2.57519,54.1786,42.1165,15.6343,20.4633,4.11491,272.986,79.1316,103.143,33.2371,1.8845,44.1015,41.7759,14.3707,19.9769,3.80942,794.399,214.716,169.574,45.6747,1.61746,100.166,82.5655,26.9582,35.4904,7.14098,592.346,238.075,149.901,64.1668,2.16889,88.3014,74.6068,23.0409,31.387,6.69169
decoupled_wbc_h074_p000,2052,complete,60,12,6.91158,3.47356,0.373971,0.179372,400.262,94.8035,86.1744,27.0653,1.94781,59.9225,49.7766,17.346,28.5484,4.24741,393.921,90.6879,124.734,31.4013,1.91143,53.6667,45.1441,17.1034,30.966,4.68009,441.928,77.5313,60.0846,36.533,1.37492,60.0625,41.3938,14.425,26.4731,3.23308,318.623,59.932,63.2584,25.7961,2.60541,40.8095,34.0874,11.2781,19.3183,2.94573,660.333,132.141,83.7117,38.0243,1.30206,73.3635,58.6527,17.7777,30.462,4.4487,617.787,133.083,75.473,36.4545,2.54141,77.7887,62.7974,19.2158,28.3271,3.89619,786.309,144.795,145.88,132.981,2.94691,93.8016,67.848,23.7878,45.173,6.17177,874.131,235.928,127.876,61.1049,1.97186,102.011,79.8637,23.5174,45.221,5.28139,485.831,134.521,150.138,120.543,1.6714,64.3959,55.7957,20.1053,42.8192,5.59618,354.033,80.3418,63.0785,38.2976,1.35997,41.9087,32.6565,13.5843,22.6572,2.77988,176.062,46.214,75.2778,32.4766,1.98942,29.0741,23.6331,10.9884,19.9765,2.2858,665.958,185.404,143.795,48.5938,10.9494,92.2906,69.8357,23.2322,36.5395,9.75616
decoupled_wbc_h074_p000,2053,fell,5.96,2,69.976,57.3858,1.47477,1.73393,210.512,42.5954,63.0063,23.7678,1.36435,33.473,27.5132,11.3981,20.0424,3.21552,2354.44,215.521,330.942,100.27,1.25892,111.497,45.1803,28.9855,36.8088,3.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h074_p000,2054,fell,45.96,10,29.6066,19.5837,0.349105,0.804065,424.682,127.438,163.891,29.091,2.17756,67.4365,58.3635,20.5364,32.5332,5.83611,568.677,152.112,154.531,36.8678,2.07335,82.5516,66.8853,23.0595,35.2937,4.89998,756.572,182.986,142.741,65.2929,2.58356,95.3898,70.3382,26.3043,42.6735,5.17282,516.812,142.623,145.456,46.761,1.78729,74.4532,60.8763,19.2231,36.3747,3.9198,355.701,97.857,167.989,47.3326,2.25785,57.7788,45.8788,19.4796,31.8843,3.28768,454.577,109.785,112.414,91.3139,2.19589,58.822,51.6513,17.9178,37.2993,5.20687,874.915,215.466,163.447,42.6639,2.45921,97.9659,84.7425,26.7026,35.2495,6.70992,892.918,254.616,172.46,41.3286,2.29077,110.052,85.2368,29.666,35.9395,7.52542,430.424,100.607,117.256,23.7556,1.48566,55.2299,49.0591,17.6832,24.1753,4.47095,5253.75,276.73,839.615,182.15,19.0457,208.023,61.0332,46.2706,61.0748,21.4826,,,,,,,,,,,,,,,,,,,,
decoupled_wbc_h074_p000,2055,complete,60,12,17.8155,3.1056,0.978322,0.745219,285.266,82.4868,114.532,26.1192,1.56049,44.1108,43.2666,16.2628,24.797,3.59605,295.996,68.9968,92.9153,20.483,2.30781,44.4577,39.7882,14.445,22.1355,3.41748,321.961,67.0167,64.5496,23.8767,1.68571,47.8004,38.4059,14.3608,20.7847,3.13431,420.195,120.989,152.878,37.8285,1.74572,63.6359,54.3141,20.8305,29.7099,4.89328,156.246,35.9019,73.7874,25.6443,1.72452,25.1766,20.8057,11.3584,18.3074,3.41367,422.916,74.0914,64.0401,56.9846,3.03481,53.2238,38.487,15.0477,21.199,4.39796,589.994,175.031,154.987,39.467,1.74879,80.7199,72.5331,24.6081,33.5971,6.50035,430.954,103.935,134.827,36.2444,2.59718,65.3828,53.6184,21.6364,30.2491,6.37657,592.675,123.61,121.534,32.4032,2.85668,73.3708,58.3664,20.4491,24.7862,5.99314,744.179,186.079,143.354,38.2438,2.32107,88.8624,76.9631,24.6502,27.3813,7.23468,1252.87,235.984,220.565,39.1883,2.84895,126.694,80.0911,37.3296,36.4663,9.2716,1126.54,203.242,170.277,48.3021,2.20016,118.692,89.057,33.2694,40.3977,10.8812
decoupled_wbc_h074_p000,2056,complete,60,12,27.8317,3.25232,0.555094,0.786694,378.476,107.199,121.506,22.0452,1.72128,53.6028,53.8557,17.7984,26.0311,3.91267,328.304,71.3801,80.2911,25.9966,1.32438,45.0827,34.2852,15.2218,18.3759,3.03486,356.841,102.058,128.896,68.8496,2.48808,51.4562,44.601,17.4391,26.4122,5.07923,996.357,228.33,231.247,50.6818,2.25534,111.969,86.2292,35.0257,41.4624,7.76685,957.715,185.408,181.667,45.055,3.46755,109.457,79.9071,27.1533,32.3615,5.37213,370.002,97.8008,73.1049,25.9116,1.6125,59.7181,47.1392,15.0407,18.1846,4.32085,730.928,169.027,148.165,35.9584,1.73637,91.1867,66.4595,25.5265,29.1722,5.83022,613.193,126.717,147.277,30.28,1.26381,82.3424,60.375,23.9995,27.4276,4.88476,468.646,121.878,133.276,36.4128,2.81442,66.0411,51.0746,20.3162,25.8961,3.83104,505.423,112.566,90.5908,25.6121,1.76137,63.9394,47.9866,17.5001,20.604,3.02293,220.342,49.2814,93.7189,36.6991,1.90728,29.6528,24.2572,11.2708,16.4539,2.12294,1775.82,507.999,277.203,55.9992,2.02661,157.162,131.536,42.3762,37.3163,6.11884
decoupled_wbc_h074_p000,2057,fell,55.76,12,22.7152,17.6491,1.21028,0.571079,377.437,83.2304,99.0994,50.8517,2.67922,56.8272,43.5779,16.9536,25.4541,4.04396,351.635,113.225,193.09,57.6729,2.3997,57.7748,52.3689,19.0281,30.2511,5.81364,499.747,134.074,168.672,42.7592,2.96436,67.5456,55.7777,21.514,29.8894,7.14493,363.754,115.72,158.472,35.8548,2.19168,62.202,50.8866,18.3905,33.5312,4.85082,234.5,43.8253,82.3536,49.378,2.01728,31.747,24.7649,11.4208,22.7513,3.43306,414.274,152.957,117.011,30.9698,1.52814,65.3138,63.8877,19.2857,26.7324,5.1002,212.14,56.5862,93.9585,26.4632,2.58074,35.5011,28.6781,13.6625,18.7408,3.89501,508.06,112.196,127.055,41.3261,2.12434,71.8468,53.7053,21.0856,30.6124,5.34264,681.955,152.58,141.244,29.0972,1.39919,89.127,70.0298,25.3664,31.062,5.42024,513.616,147.468,148.665,108.341,3.60351,73.7673,62.178,22.5109,35.1299,6.89876,556.495,179.058,154.846,63.75,2.34435,82.2032,72.1549,22.8777,36.3819,8.12717,2511.98,507.825,441.119,108.717,4.02113,101.769,58.4383,28.6212,37.1846,8.12624
